contest_id,date,game_number,status,attendance,winner,away_team,away_id,away_runs,away_hits,away_errors,home_team,home_id,home_runs,home_hits,home_errors
6357132,02/14/2025,,final,638,away,West Virginia,596444,4,9,0,Jacksonville,596572,2,5,2
6358682,02/14/2025,,final,138,away,LIU,596711,6,5,1,Marist,596590,3,11,2
6316403,02/14/2025,,final,"6,212",home,Hofstra,596558,0,1,1,Tennessee,596721,15,13,1
6317859,02/14/2025,,final,713,home,VCU,596436,0,5,1,Col. of Charleston,596459,10,9,2
6314632,02/14/2025,,final,"1,929",home,LIU,596711,2,3,0,Wake Forest,596441,14,15,1
6315623,02/14/2025,,final,"1,929",home,Marist,596590,4,8,4,Wake Forest,596441,11,11,2
6316708,02/14/2025,,final,"2,816",home,Saint Joseph's,596663,1,3,2,Coastal Carolina,596524,11,8,1
6317948,02/14/2025,,final,322,home,New Orleans,596624,3,7,1,West Ga.,596947,18,20,1
6314806,02/14/2025,,final,520,home,Mercyhurst,596906,3,6,1,UMass Lowell,596586,5,8,2
6317726,02/14/2025,,final,193,home,Boston College,596496,7,10,0,USC Upstate,596469,10,12,3
6316737,02/14/2025,,final,"1,286",home,Old Dominion,596642,2,6,1,Georgia Tech,596553,3,3,1
6315427,02/14/2025,,final,406,away,Queens (NC),596696,5,10,0,App State,596484,4,6,1
6316361,02/14/2025,,final,"3,036",home,Niagara,596625,2,8,5,Miami (FL),596600,14,13,0
6314656,02/14/2025,,final,"1,406",home,Quinnipiac,596654,1,4,0,Georgia,596554,9,4,0
6300569,02/14/2025,,final,"5,718",home,Holy Cross,596559,1,2,1,Auburn,596489,4,9,0
6300573,02/14/2025,,final,250,home,Iona,596568,10,14,2,Coppin St.,596527,11,10,2
6300577,02/14/2025,,final,"2,196",home,Maine,596588,3,9,4,Louisiana Tech,596584,14,12,0
6300579,02/14/2025,,final,"1,086",home,George Washington,596549,2,5,2,Southern California,596681,15,16,1
6356736,02/14/2025,,final,200,home,UT Martin,596692,2,8,1,Florida A&M,596542,4,5,2
6357533,02/14/2025,1,final,894,home,Bucknell,596502,0,4,3,Virginia Tech,596438,19,18,0
6314658,02/14/2025,1,final,263,home,Northern Ky.,596634,1,2,1,ETSU,596536,14,17,1
6317674,02/14/2025,1,final,0,home,Northeastern,596631,1,6,0,Charlotte,596615,6,7,0
6317691,02/14/2025,1,final,278,away,St. Bonaventure,596662,10,9,0,Gardner-Webb,596461,3,8,3
6300684,02/14/2025,1,final,912,home,Merrimack,596458,4,9,2,Winthrop,596451,16,21,1
6300747,02/14/2025,1,final,220,home,FDU,596541,7,9,2,UNC Asheville,596613,10,10,3
6300578,02/14/2025,1,final,322,away,Kentucky,596577,11,13,2,Lipscomb,596472,0,3,4
6309444,02/14/2025,1,final,256,home,UMES,596594,4,6,3,VMI,596437,14,11,2
6358663,02/14/2025,1,final,115,home,NJIT,596621,0,3,2,High Point,596705,10,11,0
6358678,02/14/2025,1,final,0,home,Indiana St.,596565,2,5,1,Wagner,596440,3,5,1
6358690,02/14/2025,1,final,126,away,Mount St. Mary's,596611,14,16,0,Norfolk St.,596626,0,6,5
6358704,02/14/2025,1,final,29,home,Delaware St.,596533,3,8,1,N.C. A&T,596627,12,9,2
6358710,02/14/2025,1,final,317,home,Georgetown,596550,6,10,1,Presbyterian,596464,7,9,3
6358724,02/14/2025,1,final,615,home,St. John's (NY),596717,3,3,1,Liberty,596581,12,14,0
6358726,02/14/2025,1,final,0,home,SFA,596689,1,6,1,Purdue,596653,4,5,2
6358745,02/14/2025,1,final,"1,059",away,Army West Point,596702,6,5,3,North Ala.,596475,1,6,1
6358766,02/14/2025,1,final,"4,419",away,George Mason,596548,7,8,0,East Carolina,596535,3,4,2
6358770,02/14/2025,1,final,"2,459",home,Fordham,596547,1,6,2,NC State,596628,11,10,1
6358786,02/14/2025,1,final,383,away,Rhode Island,596656,10,17,1,William & Mary,596450,9,9,1
6358787,02/14/2025,1,final,501,home,Rutgers,596660,3,11,0,Kennesaw St.,596463,5,8,2
6358790,02/14/2025,1,final,315,away,Bryant,596501,6,10,0,Davidson,596531,3,5,1
6358811,02/14/2025,1,final,205,away,Akron,596419,12,10,2,Radford,596655,11,11,0
6358822,02/14/2025,1,final,"2,485",home,Texas Tech,596423,1,5,2,North Carolina,596614,5,9,0
6357541,02/14/2025,2,final,969,away,Bucknell,596502,8,6,2,Virginia Tech,596438,6,8,2
6358414,02/14/2025,2,final,132,home,Dayton,596532,3,5,2,Monmouth,596609,13,11,1
6312308,02/14/2025,2,final,210,home,Navy,596431,1,5,0,Richmond,596658,2,3,1
6317677,02/14/2025,2,final,708,away,Northeastern,596631,3,8,1,Charlotte,596615,1,9,1
6314776,02/14/2025,2,final,62,home,Wagner,596440,6,11,1,Indiana St.,596565,16,14,1
6300653,02/14/2025,2,final,0,away,Wright St.,596453,14,16,0,Longwood,596582,8,4,6
6300685,02/14/2025,2,final,211,home,Creighton,596529,0,3,1,UNC Greensboro,596616,3,4,1
6304672,02/14/2025,2,final,213,home,NJIT,596621,3,7,0,High Point,596705,4,9,1
6300592,02/14/2025,2,final,965,home,Merrimack,596458,0,2,2,Winthrop,596451,8,7,1
6358508,02/14/2025,2,final,565,home,Ohio,596640,8,15,2,Wofford,596704,9,14,3
6358746,02/14/2025,2,final,92,away,Mount St. Mary's,596611,6,12,0,Norfolk St.,596626,0,1,0
6358763,02/14/2025,2,final,"4,419",home,George Mason,596548,3,3,0,East Carolina,596535,4,8,1
6358771,02/14/2025,2,final,"1,105",home,St. John's (NY),596717,0,7,1,Liberty,596581,3,4,0
6358809,02/14/2025,2,final,"1,091",home,Army West Point,596702,2,5,0,North Ala.,596475,3,9,2
6358774,02/14/2025,2,final,"2,613",home,Fordham,596547,2,1,2,NC State,596628,12,11,2
6358779,02/14/2025,2,final,284,home,Georgetown,596550,5,7,0,Presbyterian,596464,6,9,0
6358781,02/14/2025,2,final,31,home,Delaware St.,596533,4,9,0,N.C. A&T,596627,14,17,1
6358783,02/14/2025,2,final,331,home,SFA,596689,2,6,1,Purdue,596653,4,7,2
6358784,02/14/2025,2,final,"2,822",home,Texas Tech,596423,3,8,1,North Carolina,596614,8,10,0
6358785,02/14/2025,2,final,316,away,St. Bonaventure,596662,9,12,0,Gardner-Webb,596461,8,13,1
6358788,02/14/2025,2,final,535,away,Rutgers,596660,3,4,1,Kennesaw St.,596463,1,7,0
6358810,02/14/2025,2,final,100,home,Rhode Island,596656,4,6,1,William & Mary,596450,5,6,4
6358812,02/14/2025,2,final,250,home,Akron,596419,9,9,2,Radford,596655,10,8,1
6358831,02/14/2025,2,final,236,home,Bryant,596501,2,5,2,Davidson,596531,3,4,0
